"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.27469487692497,0.0753444546090479,-3.64585394307151,0.00026650532040105
"countries160 of 192",0.612664493411697,0.108014146784129,5.67207640528915,1.41077026510756e-08
"countries80 of 192",0.375620795514944,0.10626996760315,3.53459028911768,0.000408407878075916
"sanctions15%",-0.0968686795075174,0.10821861930214,-0.895120267955609,0.370722800519781
"sanctions20%",-0.252598184831059,0.108062680082042,-2.33751545528286,0.0194123982678171
"sanctions5%",0.121787205337297,0.105180320183927,1.15788966152917,0.246909067055717
"countries160 of 192:sanctions15%",-0.0516474090479692,0.152666611795783,-0.338301927582281,0.735135671268552
"countries80 of 192:sanctions15%",-0.052293540041935,0.151673493347984,-0.344777052915621,0.730261985625732
"countries160 of 192:sanctions20%",0.0568797942618708,0.153671585554008,0.37013865677777,0.71127918035027
"countries80 of 192:sanctions20%",-0.197205367237597,0.15104109691671,-1.30564045986997,0.191674854412807
"countries160 of 192:sanctions5%",0.130085342260174,0.151030658472993,0.861317454187197,0.389063225143108
"countries80 of 192:sanctions5%",0.094710917723253,0.152316304344373,0.621804199694344,0.534070624485408
