match,state,bill,status,summary,action,year,keep
19%,AL,SB365,Intro,"Admission tickets, resale of, issuers, primary ticket sales platforms and secondary ticket exchanges prohibited from engaging in certain activity, use of certain software to bypass security measures on a platform or exchange prohibited, Sec. 8-19E-2 ...",4/28/16,2016,1
19%,AL,HB435,Intro,"Admission tickets, resale of, issuers, primary ticket sales platforms and secondary ticket exchanges prohibited from engaging in certain activity, use of certain software to bypass security measures on a platform or exchange prohibited, Sec. 8-19E-2 ...",4/28/16,2016,1
20%,AL,HB265,Engross,"Ticket sales, use of non-transferable ticketing system auth. under limited circumstances, discrimination against holders of resold tickets prohibited, exceptions",4/27/17,2017,1
20%,AL,SB249,Intro,"Entertainment events, limiting the circumstances in which a ticket vendor or entertainment venue can place restrictions on the resale or transfer of tickets",4/16/19,2019,1
20%,AL,SB91,Intro,"Entertainment events, limiting the circumstances in which a ticket vendor or entertainment venue can place restrictions on the resale or transfer of tickets",2/4/20,2020,1
20%,AL,SB150,Intro,"Entertainment events, limiting the circumstances in which a ticket vendor or entertainment venue can place restrictions on the resale or transfer of tickets",2/2/21,2021,1
20%,AL,HB214,Intro,"Health, coronavirus vaccine, prohibit employers from taking adverse actions against an employee based on immunization status",2/2/21,2021,0
51%,AR,SB930,Fail,An Act To Establish The Ticket Resale And Consumer Protection Act.,5/17/13,2013,1
17%,AR,SB841,Fail,Concerning The Sale Of Event Tickets.,5/17/13,2013,1
12%,AR,SB797,Pass,Concerning The Sale Of Event Tickets.,4/1/15,2015,1
26%,AR,HB1650,Pass,Concerning The Sale Of Event Tickets; To Create The Event Ticketing And Resale Consumer Protection Act; And To Declare An Emergency.,4/11/23,2023,1
19%,AZ,HB2560,Fail,Event tickets; transferability,2/12/19,2019,1
20%,AZ,SB1521,Intro,Event tickets; transferability,3/5/20,2020,1
23%,AZ,HB2040,Prefile,Event online ticket sales,12/8/23,2023,1
53%,CA,AB329,Pass,Ticket sellers: equitable online ticket buying process: sale or use of circumventing software.,9/23/13,2013,1
53%,CA,AB329,Pass,Ticket sellers: equitable online ticket buying process: sale or use of circumventing software.,9/23/13,2013,0
12%,CA,AB8,Engross,Ticket sellers.,9/1/23,2023,1
12%,CO,SB060,Veto,Concerning consumer protections in event ticket sales.,6/6/23,2023,1
17%,CT,HB05228,Intro,To protect consumers who purchase tickets to sporting and entertainment events.,4/12/10,2010,1
12%,CT,SB00392,Intro,To impose various duties on operators of entertainment ticketing marketplaces and entertainment ticket resale marketplaces doing business in this state.,2/3/23,2023,1
21%,DC,PR20-0798,Pass,Ticketmaster Llc Ticketing Services Contract Approval Resolution Of 2014,6/20/14,2014,0
18%,DC,PR20-0694,Intro,District Of Columbia Commission On Human Rights David Scruggs Confirmation Resolution Of 2014,6/26/14,2014,0
21%,DC,PR20-0798,Pass,Ticketmaster Llc Ticketing Services Contract Approval Resolution Of 2014,6/20/14,2014,0
18%,DC,PR20-0694,Intro,District Of Columbia Commission On Human Rights David Scruggs Confirmation Resolution Of 2014,6/26/14,2014,0
12%,DC,B21-0113,Pass,"This legislation maintains criminal penalties for violations of the Vending Regulation Act of 2009 that were inadvertently removed by prior legislation. It sets the penalty for vending violations at a $500 fine, ninety days in prison, or both..",3/25/16,2016,0
12%,DC,B21-0532,Pass,Vending Regulations Emergency Amendment Act Of 2015,1/15/16,2016,0
17%,DC,B21-0113,Pass,"This legislation maintains criminal penalties for violations of the Vending Regulation Act of 2009 that were inadvertently removed by prior legislation. It sets the penalty for vending violations at a $500 fine, ninety days in prison, or both..",3/25/16,2016,0
17%,DC,B21-0532,Pass,Vending Regulations Emergency Amendment Act Of 2015,1/15/16,2016,0
17%,FL,S1190,Fail,Provides legislative intent and purpose. Defines terms. Requires the original seller of tickets to an event held at a publically owned venue to keep all receipts from the ticket sales until the event occurs and return the charges to the purchaser und...,4/30/10,2010,1
17%,FL,H0571,Fail,Requires original seller of event tickets to keep charges from ticket sales until event occurs & return charges to purchaser under certain circumstances; provides exceptions.,4/30/10,2010,1
16%,FL,H1091,Intro,Provides legislative intent & purpose; defines terms; requires original seller of tickets to event held at publicly owned venue to keep all receipts from ticket sales until event occurs or to require person or entity seeking advance release of ticket...,5/7/11,2011,1
35%,FL,H0225,Fail,"Defines term ""original ticket seller""; requires original ticket seller to provide advance public notice of ticket policies for any event that takes place in facility that receives public funding; provides requirements for such notice; requires origin...",3/9/12,2012,1
35%,FL,H1353,Fail,Provides enhance criminal penalties for second & subsequent violations concerning fraudulent creation or possession of admission ticket; provides criminal penalties for persons who commit such violations involving more than specified number of admiss...,5/3/13,2013,1
18%,FL,S1652,Fail,Providing enhanced criminal penalties for second and subsequent violations concerning fraudulent creation or possession of admission ticket; requiring ticket brokers to make specified disclosures to prospective buyers; prohibiting ticket brokers from...,5/3/13,2013,1
35%,FL,H1003,Fail,Provides enhanced criminal penalties for second & subsequent violations concerning fraudulent creation or possession of admission tickets; provides criminal penalties for persons who commit such violations involving more than specified number of ...,5/2/14,2014,1
35%,FL,S1136,Fail,Providing enhanced criminal penalties for second and subsequent violations concerning fraudulent creation or possession of admission tickets; providing criminal penalties for persons who commit such violations involving more than a specified number o...,5/2/14,2014,1
26%,FL,H0463,Intro,"Revises provisions to include digital platforms; revises certain presale disclosure requirements; revises provisions relating to prohibitions on bypassing portions of ticket buying process, disguising identity of buyer, or circumventing security meas...",4/28/15,2015,1
13%,FL,S0742,Fail,"Revising certain presale disclosure requirements; revising provisions relating to prohibitions on bypassing portions of the ticket-buying process, disguising the identity of a buyer, or circumventing security measures; requiring specified disclosures...",5/1/15,2015,1
20%,FL,S0736,Fail,"Authorizing a ticket issuer to employ a nontransferable ticketing system only under specified circumstances; prohibiting a ticket buyer or seller from being penalized, discriminated against, or denied access to an event under certain circumstances, e...",5/3/19,2019,1
19%,FL,H0331,Intro,Requires ticket issuers to offer option for transferable tickets; prohibits discrimination against holders of such tickets; provides civil penalties.,2/28/19,2019,1
12%,FL,H0177,Intro,Prohibits live performance venues from entering into specified contracts for sale of tickets or requiring artists to distribute tickets through specific ticket platforms; specifies artists must be allowed to distribute tickets through use of ticket p...,11/2/23,2023,1
12%,FL,S0204,Intro,Prohibiting live performance venues from entering into specified contracts and covenants for the sale of tickets and licenses or from requiring artists to distribute tickets through specific ticket platforms; requiring live performance venues to allo...,11/27/23,2023,1
8%,GA,SR563,Pass,A RESOLUTION commending Berklee College of Music and recognizing the fifth anniversary of the Berklee College of Music's Atlanta Spring Break Trip; and for other purposes.,3/23/15,2015,0
11%,GA,SR563,Pass,A RESOLUTION commending Berklee College of Music and recognizing the fifth anniversary of the Berklee College of Music's Atlanta Spring Break Trip; and for other purposes.,3/23/15,2015,0
12%,GA,SR1093,Pass,A RESOLUTION celebrating the fifth anniversary of Berklee College of Music's annual Atlanta trip; and for other purposes.,3/21/18,2018,0
